ds,y,is_promo,is_holiday
2023-04-29,221,0,0
2023-04-30,195,0,0
2023-05-01,188,0,1
2023-05-02,148,0,0
2023-05-03,166,0,0
2023-05-04,150,0,0
2023-05-05,187,0,0
2023-05-06,198,0,0
2023-05-07,199,0,0
2023-05-08,190,1,0
2023-05-09,190,1,0
2023-05-10,200,1,0
2023-05-11,219,1,0
2023-05-12,222,1,0
2023-05-13,197,0,0
2023-05-14,198,0,0
2023-05-15,171,0,0
2023-05-16,152,0,0
2023-05-17,157,0,0
2023-05-18,177,0,0
2023-05-19,195,0,0
2023-05-20,175,0,0
2023-05-21,196,0,0
2023-05-22,177,0,0
2023-05-23,156,0,0
2023-05-24,175,0,0
2023-05-25,189,0,0
2023-05-26,197,0,0
2023-05-27,200,0,0
2023-05-28,187,0,0
2023-05-29,168,0,0
2023-05-30,173,0,0
2023-05-31,170,0,0
2023-06-01,210,0,1
2023-06-02,193,0,0
2023-06-03,212,0,0
2023-06-04,207,0,0
2023-06-05,157,0,0
2023-06-06,172,0,0
2023-06-07,172,0,0
2023-06-08,182,0,0
2023-06-09,194,0,0
2023-06-10,219,0,0
2023-06-11,210,0,0
2023-06-12,150,0,0
2023-06-13,186,0,0
2023-06-14,160,0,0
2023-06-15,159,0,0
2023-06-16,163,0,0
2023-06-17,203,0,0
2023-06-18,198,0,0
2023-06-19,169,0,0
2023-06-20,168,0,0
2023-06-21,195,1,0
2023-06-22,219,1,0
2023-06-23,245,1,0
2023-06-24,254,1,0
2023-06-25,211,1,0
2023-06-26,201,0,0
2023-06-27,176,0,0
2023-06-28,181,0,0
2023-06-29,156,0,0
2023-06-30,199,0,0
2023-07-01,204,0,0
2023-07-02,183,0,0
2023-07-03,170,0,0
2023-07-04,175,0,0
2023-07-05,143,0,0
2023-07-06,170,0,0
2023-07-07,224,1,0
2023-07-08,234,1,0
2023-07-09,201,1,0
2023-07-10,212,1,0
2023-07-11,199,1,0
2023-07-12,138,0,0
2023-07-13,156,0,0
2023-07-14,188,0,0
2023-07-15,205,0,0
2023-07-16,182,0,0
2023-07-17,163,0,0
2023-07-18,184,0,0
2023-07-19,177,0,0
2023-07-20,147,0,0
2023-07-21,176,0,0
2023-07-22,197,0,0
2023-07-23,162,0,0
2023-07-24,142,0,0
2023-07-25,138,0,0
2023-07-26,144,0,0
2023-07-27,174,0,0
2023-07-28,172,0,0
2023-07-29,185,0,0
2023-07-30,193,0,0
2023-07-31,151,0,0
2023-08-01,177,0,0
2023-08-02,163,0,0
2023-08-03,150,0,0
2023-08-04,202,0,0
2023-08-05,192,0,0
2023-08-06,189,0,0
2023-08-07,162,0,0
2023-08-08,172,0,0
2023-08-09,163,0,0
2023-08-10,168,0,0
2023-08-11,176,0,0
2023-08-12,233,0,0
2023-08-13,179,0,0
2023-08-14,183,0,0
2023-08-15,170,0,0
2023-08-16,170,0,0
2023-08-17,172,0,0
2023-08-18,170,0,0
2023-08-19,254,1,0
2023-08-20,221,1,0
2023-08-21,216,1,0
2023-08-22,199,1,0
2023-08-23,196,1,0
2023-08-24,150,0,0
2023-08-25,181,0,0
2023-08-26,210,0,0
2023-08-27,174,0,0
2023-08-28,140,0,0
2023-08-29,153,0,0
2023-08-30,174,0,0
2023-08-31,184,0,0
2023-09-01,180,0,0
2023-09-02,184,0,0
2023-09-03,183,0,0
2023-09-04,164,0,0
2023-09-05,168,0,0
2023-09-06,187,0,0
2023-09-07,163,0,0
2023-09-08,205,0,0
2023-09-09,194,0,0
2023-09-10,185,0,0
2023-09-11,187,1,0
2023-09-12,186,1,0
2023-09-13,190,1,0
2023-09-14,190,1,0
2023-09-15,210,1,0
2023-09-16,191,0,0
2023-09-17,195,0,0
2023-09-18,182,0,0
2023-09-19,150,0,0
2023-09-20,152,0,0
2023-09-21,162,0,0
2023-09-22,218,0,0
2023-09-23,196,0,0
2023-09-24,191,0,0
2023-09-25,172,0,0
2023-09-26,158,0,0
2023-09-27,164,0,0
2023-09-28,160,0,0
2023-09-29,190,0,0
2023-09-30,180,0,0
2023-10-01,179,0,0
2023-10-02,157,0,0
2023-10-03,156,0,0
2023-10-04,164,0,0
2023-10-05,155,0,0
2023-10-06,161,0,0
2023-10-07,196,0,0
2023-10-08,163,0,0
2023-10-09,140,0,0
2023-10-10,143,0,0
2023-10-11,182,1,0
2023-10-12,164,1,0
2023-10-13,221,1,0
2023-10-14,208,1,0
2023-10-15,225,1,0
2023-10-16,133,0,0
2023-10-17,161,0,0
2023-10-18,145,0,0
2023-10-19,125,0,0
2023-10-20,158,0,0
2023-10-21,201,0,0
2023-10-22,175,0,0
2023-10-23,143,0,0
2023-10-24,117,0,0
2023-10-25,160,0,0
2023-10-26,166,0,0
2023-10-27,188,0,0
2023-10-28,175,0,0
2023-10-29,172,0,0
2023-10-30,148,0,0
2023-10-31,124,0,0
2023-11-01,184,0,0
2023-11-02,194,0,0
2023-11-03,215,0,0
2023-11-04,208,0,0
2023-11-05,195,0,0
2023-11-06,190,0,0
2023-11-07,188,0,0
2023-11-08,153,0,0
2023-11-09,150,0,0
2023-11-10,204,0,0
2023-11-11,212,0,0
2023-11-12,201,0,0
2023-11-13,174,0,0
2023-11-14,191,0,0
2023-11-15,180,0,0
2023-11-16,182,0,0
2023-11-17,187,0,0
2023-11-18,178,0,0
2023-11-19,217,0,0
2023-11-20,204,0,0
2023-11-21,209,1,0
2023-11-22,216,1,0
2023-11-23,217,1,0
2023-11-24,258,1,0
2023-11-25,263,1,0
2023-11-26,209,0,0
2023-11-27,178,0,0
2023-11-28,178,0,0
2023-11-29,160,0,0
2023-11-30,173,0,0
2023-12-01,213,0,0
2023-12-02,215,0,0
2023-12-03,203,0,0
2023-12-04,198,1,0
2023-12-05,218,1,0
2023-12-06,195,1,0
2023-12-07,216,1,0
2023-12-08,235,1,0
2023-12-09,197,0,0
2023-12-10,215,0,0
2023-12-11,176,0,0
2023-12-12,235,0,1
2023-12-13,195,0,0
2023-12-14,167,0,0
2023-12-15,193,0,0
2023-12-16,204,0,0
2023-12-17,184,0,0
2023-12-18,173,0,0
2023-12-19,196,0,0
2023-12-20,155,0,0
2023-12-21,189,0,0
2023-12-22,213,0,0
2023-12-23,226,0,0
2023-12-24,213,0,0
2023-12-25,201,0,1
2023-12-26,224,0,1
2023-12-27,173,0,0
2023-12-28,150,0,0
2023-12-29,206,0,0
2023-12-30,210,0,0
2023-12-31,222,0,0
2024-01-01,172,0,1
2024-01-02,142,0,0
2024-01-03,146,0,0
2024-01-04,138,0,0
2024-01-05,166,0,0
2024-01-06,192,0,0
2024-01-07,155,0,0
2024-01-08,169,1,0
2024-01-09,166,1,0
2024-01-10,196,1,0
2024-01-11,170,1,0
2024-01-12,202,1,0
2024-01-13,177,0,0
2024-01-14,166,0,0
2024-01-15,136,0,0
2024-01-16,151,0,0
2024-01-17,133,0,0
2024-01-18,130,0,0
2024-01-19,165,0,0
2024-01-20,177,0,0
2024-01-21,156,0,0
2024-01-22,144,0,0
2024-01-23,128,0,0
2024-01-24,169,0,0
2024-01-25,131,0,0
2024-01-26,167,0,0
2024-01-27,185,0,0
2024-01-28,196,0,0
2024-01-29,130,0,0
2024-01-30,153,0,0
2024-01-31,164,0,0
2024-02-01,149,0,0
2024-02-02,164,0,0
2024-02-03,227,1,0
2024-02-04,232,1,0
2024-02-05,182,1,0
2024-02-06,207,1,0
2024-02-07,193,1,0
2024-02-08,171,0,0
2024-02-09,184,0,0
2024-02-10,191,0,0
2024-02-11,202,0,0
2024-02-12,161,0,0
2024-02-13,161,0,0
2024-02-14,169,0,0
2024-02-15,171,0,0
2024-02-16,195,0,0
2024-02-17,185,0,0
2024-02-18,179,0,0
2024-02-19,154,0,0
2024-02-20,153,0,0
2024-02-21,153,0,0
2024-02-22,156,0,0
2024-02-23,193,0,0
2024-02-24,211,0,0
2024-02-25,191,0,0
2024-02-26,161,0,0
2024-02-27,182,0,0
2024-02-28,166,0,0
2024-02-29,179,0,0
2024-03-01,187,0,0
2024-03-02,214,0,0
2024-03-03,211,0,0
2024-03-04,139,0,0
2024-03-05,163,0,0
2024-03-06,179,0,0
2024-03-07,187,0,0
2024-03-08,201,0,0
2024-03-09,214,0,0
2024-03-10,219,0,0
2024-03-11,190,0,0
2024-03-12,165,0,0
2024-03-13,178,0,0
2024-03-14,181,0,0
2024-03-15,223,0,0
2024-03-16,229,0,0
2024-03-17,203,0,0
2024-03-18,182,0,0
2024-03-19,158,0,0
2024-03-20,193,0,0
2024-03-21,189,0,0
2024-03-22,257,1,0
2024-03-23,256,1,0
2024-03-24,245,1,0
2024-03-25,213,1,0
2024-03-26,206,1,0
2024-03-27,178,0,0
2024-03-28,164,0,0
2024-03-29,223,0,0
2024-03-30,201,0,0
2024-03-31,237,0,0
2024-04-01,168,0,0
2024-04-02,207,0,0
2024-04-03,179,0,0
2024-04-04,197,0,0
2024-04-05,207,0,0
2024-04-06,252,0,0
2024-04-07,218,0,0
2024-04-08,206,0,0
2024-04-09,195,0,0
2024-04-10,199,0,0
2024-04-11,202,0,0
2024-04-12,214,0,0
2024-04-13,221,0,0
2024-04-14,206,0,0
2024-04-15,198,0,0
2024-04-16,192,0,0
2024-04-17,173,0,0
2024-04-18,205,0,0
2024-04-19,210,0,0
2024-04-20,226,0,0
2024-04-21,260,1,0
2024-04-22,226,1,0
2024-04-23,239,1,0
2024-04-24,261,1,0
2024-04-25,234,1,0
2024-04-26,216,0,0
2024-04-27,247,0,0
2024-04-28,221,0,0
2024-04-29,206,0,0
2024-04-30,210,0,0
2024-05-01,241,0,1
2024-05-02,243,1,0
2024-05-03,270,1,0
2024-05-04,302,1,0
2024-05-05,266,1,0
2024-05-06,246,1,0
2024-05-07,220,0,0
2024-05-08,216,0,0
2024-05-09,206,0,0
2024-05-10,247,0,0
2024-05-11,241,0,0
2024-05-12,234,0,0
2024-05-13,203,0,0
2024-05-14,220,0,0
2024-05-15,228,0,0
2024-05-16,216,0,0
2024-05-17,240,0,0
2024-05-18,244,0,0
2024-05-19,231,0,0
2024-05-20,201,0,0
2024-05-21,190,0,0
2024-05-22,211,0,0
2024-05-23,213,0,0
2024-05-24,268,0,0
2024-05-25,276,0,0
2024-05-26,249,0,0
2024-05-27,243,0,0
2024-05-28,235,0,0
2024-05-29,194,0,0
2024-05-30,232,0,0
2024-05-31,253,0,0
2024-06-01,291,0,1
2024-06-02,228,0,0
2024-06-03,227,0,0
2024-06-04,195,0,0
2024-06-05,220,0,0
2024-06-06,213,0,0
2024-06-07,231,0,0
2024-06-08,276,0,0
2024-06-09,246,0,0
2024-06-10,224,0,0
2024-06-11,233,0,0
2024-06-12,257,1,0
2024-06-13,263,1,0
2024-06-14,292,1,0
2024-06-15,305,1,0
2024-06-16,286,1,0
2024-06-17,244,0,0
2024-06-18,238,0,0
2024-06-19,222,0,0
2024-06-20,213,0,0
2024-06-21,256,0,0
2024-06-22,266,0,0
2024-06-23,269,0,0
2024-06-24,236,0,0
2024-06-25,233,0,0
2024-06-26,224,0,0
2024-06-27,214,0,0
2024-06-28,247,0,0
2024-06-29,270,0,0
2024-06-30,229,0,0
2024-07-01,224,0,0
2024-07-02,234,0,0
2024-07-03,186,0,0
2024-07-04,193,0,0
2024-07-05,237,0,0
2024-07-06,277,1,0
2024-07-07,273,1,0
2024-07-08,244,1,0
2024-07-09,232,1,0
2024-07-10,260,1,0
2024-07-11,215,0,0
2024-07-12,228,0,0
2024-07-13,267,0,0
2024-07-14,228,0,0
2024-07-15,194,0,0
2024-07-16,211,0,0
2024-07-17,213,0,0
2024-07-18,215,0,0
2024-07-19,242,0,0
2024-07-20,255,0,0
2024-07-21,239,0,0
2024-07-22,201,0,0
2024-07-23,200,0,0
2024-07-24,217,0,0
2024-07-25,211,0,0
2024-07-26,243,0,0
2024-07-27,227,0,0
2024-07-28,226,0,0
2024-07-29,230,0,0
2024-07-30,214,0,0
2024-07-31,210,0,0
2024-08-01,230,0,0
2024-08-02,308,1,0
2024-08-03,320,1,0
2024-08-04,262,1,0
2024-08-05,241,1,0
2024-08-06,236,1,0
2024-08-07,211,0,0
2024-08-08,221,0,0
2024-08-09,248,0,0
2024-08-10,241,0,0
2024-08-11,222,0,0
2024-08-12,210,0,0
2024-08-13,230,0,0
2024-08-14,231,0,0
2024-08-15,238,0,0
2024-08-16,242,0,0
2024-08-17,267,0,0
2024-08-18,254,0,0
2024-08-19,211,0,0
2024-08-20,221,0,0
2024-08-21,224,0,0
2024-08-22,205,0,0
2024-08-23,260,0,0
2024-08-24,255,0,0
2024-08-25,241,0,0
2024-08-26,203,0,0
2024-08-27,205,0,0
2024-08-28,187,0,0
2024-08-29,214,0,0
2024-08-30,268,0,0
2024-08-31,241,0,0
2024-09-01,273,0,0
2024-09-02,229,0,0
2024-09-03,206,0,0
2024-09-04,212,0,0
2024-09-05,209,0,0
2024-09-06,256,0,0
2024-09-07,256,0,0
2024-09-08,249,0,0
2024-09-09,214,0,0
2024-09-10,208,0,0
2024-09-11,213,0,0
2024-09-12,204,0,0
2024-09-13,216,0,0
2024-09-14,257,0,0
2024-09-15,214,0,0
2024-09-16,204,0,0
2024-09-17,201,0,0
2024-09-18,214,0,0
2024-09-19,225,0,0
2024-09-20,245,0,0
2024-09-21,288,1,0
2024-09-22,257,1,0
2024-09-23,237,1,0
2024-09-24,235,1,0
2024-09-25,233,1,0
2024-09-26,198,0,0
2024-09-27,223,0,0
2024-09-28,237,0,0
2024-09-29,238,0,0
2024-09-30,189,0,0
2024-10-01,227,1,0
2024-10-02,217,1,0
2024-10-03,253,1,0
2024-10-04,251,1,0
2024-10-05,283,1,0
2024-10-06,230,0,0
2024-10-07,215,0,0
2024-10-08,196,0,0
2024-10-09,187,0,0
2024-10-10,179,0,0
2024-10-11,189,0,0
2024-10-12,239,0,0
2024-10-13,231,0,0
2024-10-14,202,0,0
2024-10-15,178,0,0
2024-10-16,209,0,0
2024-10-17,187,0,0
2024-10-18,210,0,0
2024-10-19,226,0,0
2024-10-20,221,0,0
2024-10-21,177,0,0
2024-10-22,194,0,0
2024-10-23,199,0,0
2024-10-24,207,0,0
2024-10-25,220,0,0
2024-10-26,217,0,0
2024-10-27,220,0,0
2024-10-28,180,0,0
2024-10-29,179,0,0
2024-10-30,176,0,0
2024-10-31,169,0,0
2024-11-01,250,0,0
2024-11-02,285,0,0
2024-11-03,283,0,0
2024-11-04,224,0,0
2024-11-05,244,0,0
2024-11-06,226,0,0
2024-11-07,210,0,0
2024-11-08,263,0,0
2024-11-09,273,0,0
2024-11-10,276,0,0
2024-11-11,211,0,0
2024-11-12,298,1,0
2024-11-13,283,1,0
2024-11-14,264,1,0
2024-11-15,285,1,0
2024-11-16,295,1,0
2024-11-17,255,0,0
2024-11-18,226,0,0
2024-11-19,234,0,0
2024-11-20,225,0,0
2024-11-21,245,0,0
2024-11-22,254,0,0
2024-11-23,265,0,0
2024-11-24,265,0,0
2024-11-25,208,0,0
2024-11-26,232,0,0
2024-11-27,228,0,0
2024-11-28,211,0,0
2024-11-29,232,0,0
2024-11-30,280,0,0
2024-12-01,264,0,0
2024-12-02,229,0,0
2024-12-03,248,0,0
2024-12-04,233,0,0
2024-12-05,242,0,0
2024-12-06,257,0,0
2024-12-07,264,0,0
2024-12-08,240,0,0
2024-12-09,220,0,0
2024-12-10,225,0,0
2024-12-11,244,0,0
2024-12-12,272,0,1
2024-12-13,257,0,0
2024-12-14,278,0,0
2024-12-15,259,0,0
2024-12-16,231,0,0
2024-12-17,210,0,0
2024-12-18,242,0,0
2024-12-19,223,0,0
2024-12-20,267,0,0
2024-12-21,283,0,0
2024-12-22,281,1,0
2024-12-23,276,1,0
2024-12-24,260,1,0
2024-12-25,295,1,1
2024-12-26,303,1,1
2024-12-27,258,0,0
2024-12-28,271,0,0
2024-12-29,239,0,0
2024-12-30,229,0,0
